GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant,EtudiantBackendApplication,5,3,0,0,2,1,1,1,1,1
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,35,0,0,0,7,0,3,0,3
etudiant-backend,com.openclassrooms.etudiant.controller,StudentController,0,41,0,0,0,11,0,6,0,6
etudiant-backend,com.openclassrooms.etudiant.handler,RestExceptionHandler,29,68,0,0,4,11,2,6,2,6
etudiant-backend,com.openclassrooms.etudiant.handler,ErrorDetails,147,21,30,0,2,4,23,4,8,4
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,21,0,0,0,7,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.dto,StudentResponseDTO,0,12,0,0,0,1,0,1,0,1
etudiant-backend,com.openclassrooms.etudiant.dto,LoginRequestDTO,98,17,22,0,0,3,15,5,4,5
etudiant-backend,com.openclassrooms.etudiant.dto,LoginResponseDTO,0,6,0,0,0,1,0,1,0,1
etudiant-backend,com.openclassrooms.etudiant.dto,RegisterDTO,164,31,38,0,0,5,23,9,4,9
etudiant-backend,com.openclassrooms.etudiant.dto,StudentRequestDTO,0,9,0,0,0,1,0,1,0,1
etudiant-backend,com.openclassrooms.etudiant.service,UserService,0,87,0,4,0,17,0,7,0,5
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,0,74,1,3,0,24,1,7,0,6
etudiant-backend,com.openclassrooms.etudiant.service,StudentService,0,90,0,0,0,19,0,8,0,8
etudiant-backend,com.openclassrooms.etudiant.entities,Student,105,62,25,5,0,6,18,9,3,9
etudiant-backend,com.openclassrooms.etudiant.entities,User,318,36,62,0,8,8,46,11,15,11
etudiant-backend,com.openclassrooms.etudiant.exception,StudentNotFoundException,0,5,0,0,0,2,0,1,0,1
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,0,91,0,0,0,21,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.configuration.security,JwtAuthenticationFilter,1,73,4,6,1,22,4,3,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,0,21,0,0,0,3,0,3,0,3
